Store,DayOfWeek,Promo,SchoolHoliday,med_Sales
6,4,1,0,6049
6,4,1,1,5954
6,5,0,0,5079
6,5,0,1,5142
6,5,1,0,6476.5
6,5,1,1,5931
6,6,0,0,3424.5
7,1,0,0,7574.5
7,1,0,1,10712
7,1,1,0,11946
7,1,1,1,13086
7,2,0,0,7698
7,2,0,1,9440.5
7,2,1,0,10875.5
7,2,1,1,11761.5
7,3,0,1,7585
7,3,0,0,6845
7,3,1,0,8934
7,3,1,1,10255.5
7,4,0,1,7733
7,4,0,0,7143.5
7,4,1,0,8673.5
7,4,1,1,10789
7,5,0,1,9126.5
7,5,0,0,8025
7,5,1,0,9550
7,5,1,1,10085
7,6,0,0,5902.5
8,1,0,0,4810.5
8,1,0,1,5157
8,1,1,0,8504
8,1,1,1,8004
8,2,0,0,4609
8,2,0,1,4432
8,2,1,0,7304.5
8,2,1,1,6899
8,3,0,1,3794
8,3,0,0,4406
8,3,1,0,6329
8,3,1,1,6268
8,4,0,1,4745.5
8,4,0,0,5381
8,4,1,0,6820.5
8,4,1,1,7147
8,5,0,1,4196.5
8,5,0,0,4424
8,5,1,0,5590.5
8,5,1,1,5187
8,6,0,0,2797
9,1,0,0,5892
9,1,0,1,6381
9,1,1,0,9228
9,1,1,1,9503.5
9,2,0,0,5107.5
9,2,0,1,5113
9,2,1,0,7530
9,2,1,1,7554.5
9,3,0,1,4975.5
9,3,0,0,5110
9,3,1,0,6909.5
9,3,1,1,6812
9,4,0,1,5039
9,4,0,0,5240.5
9,4,1,0,6548
9,4,1,1,6750
9,5,0,1,5476
9,5,0,0,5808.5
9,5,1,0,6853
9,5,1,1,6440.5
9,6,0,0,5996
10,1,0,0,5252
10,1,0,1,5504
10,1,1,0,7591.5
10,1,1,1,7093.5
10,2,0,0,4887.5
10,2,0,1,4846
10,2,1,0,6444
10,2,1,1,5937
10,3,0,1,4353.5
10,3,0,0,4773
10,3,1,0,5791
10,3,1,1,5513
10,4,0,1,4629.5
10,4,0,0,4677
10,4,1,0,5789
10,4,1,1,5850.5
10,5,0,1,5114
10,5,0,0,5055
10,5,1,0,5925
10,5,1,1,5673
10,6,0,0,4759
10,6,0,1,4420
11,1,0,0,6755
11,1,0,1,7493
11,1,1,0,9939
11,1,1,1,9870
11,2,0,0,6563
11,2,0,1,6733.5
11,2,1,0,8901.5
11,2,1,1,9303
11,3,0,1,7271
11,3,0,0,7136
11,3,1,0,8831
11,3,1,1,9277
11,4,0,1,6533
11,4,0,0,6886
11,4,1,0,8015
11,4,1,1,8415
11,5,0,1,7300
11,5,0,0,7184
11,5,1,0,7966
11,5,1,1,7898
11,6,0,0,6070
12,1,0,0,5943.5
12,1,0,1,6561
12,1,1,0,11086
12,1,1,1,11095
12,2,0,0,5772
12,2,0,1,5646
12,2,1,0,9085
12,2,1,1,8872.5
12,3,0,1,5730
12,3,0,0,5883
12,3,1,0,8575
12,3,1,1,8891.5
12,4,0,1,5585.5
12,4,0,0,5891
12,4,1,0,7978.5
12,4,1,1,8602
12,5,0,1,5987
12,5,0,0,6015
12,5,1,0,8055
12,5,1,1,7813
12,6,0,0,6206.5
13,1,0,0,3458
13,1,0,1,4065
13,1,1,0,7369
13,1,1,1,8059
13,2,0,0,3203
13,2,0,1,3606
13,2,1,0,6147
13,2,1,1,6339
13,3,0,1,3482.5
13,3,0,0,3351
13,3,1,0,5630
13,3,1,1,6584.5
13,4,0,1,3569.5
13,4,0,0,3398
13,4,1,0,5271
13,4,1,1,6370
13,5,0,1,3804
13,5,0,0,4107.5
13,5,1,0,6095
13,5,1,1,6583.5
13,6,0,0,4503.5
14,1,0,0,5222.5
14,1,0,1,5010
14,1,1,0,7946
14,1,1,1,7598
14,2,0,0,4702
14,2,0,1,4910
14,2,1,0,6794
14,2,1,1,6452
14,3,0,1,4401.5
14,3,0,0,4704
14,3,1,0,6190.5
14,3,1,1,5593
14,4,0,1,4770
14,4,0,0,4820.5
14,4,1,0,6027
14,4,1,1,5698
14,5,0,1,4658
14,5,0,0,5162
14,5,1,0,6326
14,5,1,1,5563
14,6,0,0,3433
15,1,0,0,5277
15,1,0,1,5420
15,1,1,0,8828
15,1,1,1,8776
15,2,0,0,5108
15,2,0,1,4960.5
15,2,1,0,7446.5
15,2,1,1,7708.5
15,3,0,1,4908
15,3,0,0,5175
15,3,1,0,6976
15,3,1,1,7218.5
15,4,0,1,5129.5
15,4,0,0,5569
15,4,1,0,6944.5
15,4,1,1,7395
15,5,0,1,5712.5
15,5,0,0,6173
15,5,1,0,7625
15,5,1,1,7483
15,6,0,0,5644.5
16,1,0,0,7240
16,1,0,1,7266.5
16,1,1,0,10507
16,1,1,1,10254
16,2,0,0,6864
16,2,0,1,7209.5
16,2,1,0,9283
16,2,1,1,8956
16,3,0,1,6858
16,3,0,0,6930
16,3,1,0,8569
16,3,1,1,9042.5
16,4,0,1,6389.5
16,4,0,0,6681
16,4,1,0,8110.5
16,4,1,1,8115
16,5,0,1,6453
16,5,0,0,7257
16,5,1,0,8218
16,5,1,1,8019
16,6,0,0,5152
17,1,0,0,5140
17,1,0,1,5525.5
17,1,1,0,10077.5
17,1,1,1,10776.5
17,2,0,0,5194
17,2,0,1,5440
17,2,1,0,8919.5
17,2,1,1,9104.5
17,3,0,1,5122.5
17,3,0,0,5050.5
17,3,1,0,7472
17,3,1,1,7530
17,4,0,1,5173
17,4,0,0,5210
17,4,1,0,7432
17,4,1,1,7124
17,5,0,1,5915
17,5,0,0,5418
17,5,1,0,6997
17,5,1,1,6619
17,6,0,0,2758
18,1,0,0,5625
18,1,0,1,5857
18,1,1,0,9269.5
18,1,1,1,9125
18,2,0,0,5070
18,2,0,1,5193
18,2,1,0,7348.5
18,2,1,1,6815.5
18,3,0,1,5458
18,3,0,0,5527
18,3,1,0,7178
18,3,1,1,7376
18,4,0,1,5527
18,4,0,0,5449
18,4,1,0,6823.5
18,4,1,1,6462
18,5,0,1,6530.5
18,5,0,0,6535.5
18,5,1,0,7466
18,5,1,1,7642.5
18,6,0,0,4455.5
19,1,0,0,5638.5
19,1,0,1,5721
19,1,1,0,9648.5
19,1,1,1,9348.5
19,2,0,0,5503
19,2,0,1,5551
19,2,1,0,7712.5
19,2,1,1,7872
19,3,0,1,4850.5
19,3,0,0,5405
19,3,1,0,7147
19,3,1,1,7263
19,4,0,1,5023
19,4,0,0,5674
19,4,1,0,7109
19,4,1,1,7780
19,5,0,1,5458
19,5,0,0,6034
19,5,1,0,7365
19,5,1,1,6762.5
19,6,0,0,4159
20,1,0,0,8004.5
20,1,0,1,7983
20,1,1,0,9965
20,1,1,1,10148
20,2,0,0,7220.5
20,2,0,1,7917
20,2,1,0,9065
20,2,1,1,9063
20,3,0,1,7488
20,3,0,0,7214.5
20,3,1,0,8198
20,3,1,1,8955.5
20,4,0,1,8118
20,4,0,0,7984
20,4,1,0,9213
20,4,1,1,9059
20,5,0,1,6260.5
20,5,0,0,6923.5
20,5,1,0,7501
20,5,1,1,7872
20,6,0,0,5244.5
21,1,0,0,3743
21,1,0,1,4110
21,1,1,0,8211
21,1,1,1,7990
21,2,0,0,3442
21,2,0,1,3461.5
21,2,1,0,6701
21,2,1,1,7115.5
21,3,0,1,3680
21,3,0,0,3442
21,3,1,0,5867
21,3,1,1,6478
21,4,0,1,3780
21,4,0,0,3586
21,4,1,0,5992.5
21,4,1,1,5964.5
21,5,0,1,3852
21,5,0,0,4229
21,5,1,0,6444
21,5,1,1,5998.5
21,6,0,0,4987
22,1,0,0,3829.5
22,1,0,1,4161
22,1,1,0,6206
22,1,1,1,6631
22,2,0,0,3566
22,2,0,1,3739
22,2,1,0,5408
22,2,1,1,4982
22,3,0,1,3578.5
22,3,0,0,3620
22,3,1,0,4760.5
22,3,1,1,5231.5
22,4,0,1,3894
22,4,0,0,3730
22,4,1,0,4779.5
22,4,1,1,5246
22,5,0,1,4081.5
22,5,0,0,4301
22,5,1,0,5210
22,5,1,1,5965.5
22,6,0,0,3320
23,1,0,0,4170
23,1,0,1,4327
23,1,1,0,8258.5
23,1,1,1,8292
23,2,0,0,3900
23,2,0,1,3927
23,2,1,0,6318
23,2,1,1,6601.5
23,3,0,1,4118
23,3,0,0,4047
23,3,1,0,5921
23,3,1,1,6052.5
23,4,0,1,4267
23,4,0,0,4219
23,4,1,0,6045
23,4,1,1,6061
23,5,0,1,4746.5
23,5,0,0,4898
23,5,1,0,6453
23,5,1,1,5815
23,6,0,0,4562
24,1,0,0,7622
24,1,0,1,8366
24,1,1,0,13165.5
24,1,1,1,13082.5
24,2,0,0,7091.5
24,2,0,1,7607
24,2,1,0,10529
24,2,1,1,10752.5
24,3,0,1,7497
24,3,0,0,7492.5
24,3,1,0,10401.5
24,3,1,1,9861
24,4,0,1,7448
24,4,0,0,7388
24,4,1,0,9684
24,4,1,1,9736
24,5,0,1,8043
24,5,0,0,8698
24,5,1,0,10425
24,5,1,1,9838.5
24,6,0,0,7160
25,1,0,0,10379
25,1,0,1,10571
25,1,1,0,15362
25,1,1,1,14238.5
25,2,0,0,9133.5
25,2,0,1,9628
25,2,1,0,13132
25,2,1,1,12460
25,3,0,1,8452.5
25,3,0,0,8991
25,3,1,0,11943
25,3,1,1,11290
25,4,0,1,8831
25,4,0,0,9606
25,4,1,0,11968
25,4,1,1,11852
25,5,0,1,8909
25,5,0,0,10036
25,5,1,0,11506
25,5,1,1,10595.5
25,6,0,0,8729
26,1,0,0,4702
26,1,0,1,5378
26,1,1,0,10154
26,1,1,1,10763.5
26,2,0,0,4432.5
26,2,0,1,4441
26,2,1,0,7468.5
26,2,1,1,7677.5
26,3,0,1,4865
26,3,0,0,4588
26,3,1,0,7034
26,3,1,1,7424.5
26,4,0,1,5491.5
26,4,0,0,5052
26,4,1,0,7680
26,4,1,1,7603
26,5,0,1,6071
26,5,0,0,5929.5
26,5,1,0,7606
26,5,1,1,7011.5
26,6,0,0,5582.5
27,1,0,0,7191.5
27,1,0,1,7937
27,1,1,0,13905.5
27,1,1,1,14055
27,2,0,0,7149
27,2,0,1,7483
27,2,1,0,11886.5
27,2,1,1,11797
27,3,0,1,7132
27,3,0,0,7032.5
27,3,1,0,10648.5
27,3,1,1,10640
27,4,0,1,6951
27,4,0,0,6966
27,4,1,0,10085
27,4,1,1,10288
27,5,0,1,7601.5
27,5,0,0,7741
27,5,1,0,10274
27,5,1,1,9634
27,6,0,0,7261
28,1,0,0,4533
28,1,0,1,5180.5
28,1,1,0,8683
28,1,1,1,8695
28,2,0,0,4545
28,2,0,1,4256
28,2,1,0,7221.5
28,2,1,1,7225
28,3,0,1,4270
28,3,0,0,4231.5
28,3,1,0,5876
28,3,1,1,6153
28,4,0,1,4852
28,4,0,0,4769
28,4,1,0,6130
28,4,1,1,6178
28,5,0,1,5084
28,5,0,0,4874
28,5,1,0,5906
28,5,1,1,5663.5
28,6,0,0,2540
29,1,0,0,5721
29,1,0,1,6176
29,1,1,0,11620
29,1,1,1,11497
29,2,0,0,5318
29,2,0,1,5259
29,2,1,0,8616
29,2,1,1,8389
29,3,0,1,5283
29,3,0,0,5487.5
29,3,1,0,8106.5
29,3,1,1,7847
29,4,0,1,5580
29,4,0,0,5337.5
29,4,1,0,7243
29,4,1,1,7439
29,5,0,1,5651.5
29,5,0,0,6196.5
29,5,1,0,7595
29,5,1,1,7198
29,6,0,0,6806
30,1,0,0,3962.5
30,1,0,1,4693
30,1,1,0,7582
30,1,1,1,7243
30,2,0,0,4310
30,2,0,1,4459
30,2,1,0,7241.5
30,2,1,1,7047
30,3,0,1,3470.5
30,3,0,0,4066
30,3,1,0,5534
30,3,1,1,5640
30,4,0,1,5170
30,4,0,0,4672.5
30,4,1,0,6347
30,4,1,1,6429
30,5,0,1,4013.5
30,5,0,0,4277
30,5,1,0,5114
30,5,1,1,4844
30,6,0,0,4909
31,1,0,0,4581.5
31,1,0,1,4976
31,1,1,0,7299
31,1,1,1,7392
31,2,0,0,4397
31,2,0,1,4545
31,2,1,0,6263.5
31,2,1,1,6306
31,3,0,1,4312
31,3,0,0,4481
31,3,1,0,5957
31,3,1,1,6319
31,4,0,1,4651.5
31,4,0,0,4789
31,4,1,0,5927.5
31,4,1,1,6384
31,5,0,1,5727.5
31,5,0,0,5472
31,5,1,0,6546.5
31,5,1,1,6555
31,6,0,0,5405.5
32,1,0,0,3758.5
32,1,0,1,3620
32,1,1,0,6127
32,1,1,1,5861.5
32,2,0,0,3387
32,2,0,1,3754
32,2,1,0,5387
32,2,1,1,5151
32,3,0,1,3603.5
32,3,0,0,3328.5
32,3,1,0,4762.5
32,3,1,1,5358.5
32,4,0,1,3351.5
32,4,0,0,3211
32,4,1,0,4668
32,4,1,1,4796
32,5,0,1,3272.5
32,5,0,0,3425.5
32,5,1,0,4582
32,5,1,1,5078
32,6,0,0,2322.5
33,1,0,0,7221.5
33,1,0,1,7301
33,1,1,0,11341.5
33,1,1,1,10893.5
33,2,0,0,6297
33,2,0,1,7574
33,2,1,0,9569
33,2,1,1,9326.5
33,3,0,1,6590
33,3,0,0,6542.5
33,3,1,0,8709.5
33,3,1,1,8090
33,4,0,1,6581
33,4,0,0,6586
33,4,1,0,8568
33,4,1,1,8684
33,5,0,1,7227
33,5,0,0,7437
33,5,1,0,8864
33,5,1,1,7875
33,6,0,0,8396
34,1,0,0,7107.5
34,1,0,1,7752
34,1,1,0,10552
34,1,1,1,10685
34,2,0,0,6652
34,2,0,1,6712
34,2,1,0,9131
34,2,1,1,9071
34,3,0,1,6734
34,3,0,0,6507
34,3,1,0,8289
34,3,1,1,8579
34,4,0,1,6538
34,4,0,0,6484
34,4,1,0,8045
34,4,1,1,7998.5
34,5,0,1,7715.5
34,5,0,0,6948
34,5,1,0,8218
34,5,1,1,7914.5
34,6,0,0,7564.5
35,1,0,0,7586.5
35,1,0,1,8905
35,1,1,0,14749
35,1,1,1,15265
35,2,0,0,6948
35,2,0,1,7302
35,2,1,0,11404
35,2,1,1,11523
35,3,0,1,6371
35,3,0,0,7127
35,3,1,0,10730.5
35,3,1,1,10255
35,4,0,1,6911
35,4,0,0,7090.5
35,4,1,0,10641
35,4,1,1,10559
35,5,0,1,7406.5
35,5,0,0,8295.5
35,5,1,0,10560
35,5,1,1,9916.5
35,6,0,0,7554
36,1,0,0,9035.5
36,1,0,1,9367
36,1,1,0,11104
36,1,1,1,10574
36,2,0,0,7928.5
36,2,0,1,8174
36,2,1,0,9900
36,2,1,1,9383
36,3,0,1,8655
36,3,0,0,7839
36,3,1,0,9556
36,3,1,1,10470.5
36,4,0,1,7712
36,4,0,0,8037.5
36,4,1,0,9174
36,4,1,1,9875
36,5,0,1,8229
36,5,0,0,8724.5
36,5,1,0,9451
36,5,1,1,10577
36,6,0,0,9401
37,1,0,0,4795
37,1,0,1,5218
37,1,1,0,8796
37,1,1,1,10279
37,2,0,0,4716.5
37,2,0,1,4905
37,2,1,0,7143
37,2,1,1,7908
37,3,0,1,4750
37,3,0,0,4903.5
37,3,1,0,6852
37,3,1,1,7061
37,4,0,1,5679
37,4,0,0,5327.5
37,4,1,0,7560
37,4,1,1,8046
37,5,0,1,7182
37,5,0,0,6237
37,5,1,0,7974.5
37,5,1,1,7847
37,6,0,0,7929.5
38,1,0,0,4132.5
38,1,0,1,4503
38,1,1,0,9301.5
38,1,1,1,9850
38,2,0,0,3951.5
38,2,0,1,4358
38,2,1,0,7219.5
38,2,1,1,7130.5
38,3,0,1,4137
38,3,0,0,4020.5
38,3,1,0,6499.5
38,3,1,1,6722
38,4,0,1,4234
38,4,0,0,3981.5
38,4,1,0,6096
38,4,1,1,6255
38,5,0,1,4169
38,5,0,0,4750.5
38,5,1,0,6402
38,5,1,1,6123
38,6,0,0,6115
39,1,0,0,3742.5
39,1,0,1,4395
39,1,1,0,8120
39,1,1,1,8129
39,2,0,0,3676
39,2,0,1,4079
39,2,1,0,6213
39,2,1,1,6041
39,3,0,1,3900
39,3,0,0,3819
39,3,1,0,5645.5
39,3,1,1,6091
39,4,0,1,3627
39,4,0,0,3576
39,4,1,0,5101
39,4,1,1,5504
39,5,0,1,3820
39,5,0,0,3715
39,5,1,0,4993
39,5,1,1,4812.5
39,6,0,0,2845
40,1,0,0,3690
40,1,0,1,4448
40,1,1,0,5896.5
40,1,1,1,6192.5
40,2,0,0,3891.5
40,2,0,1,4566
40,2,1,0,5647
40,2,1,1,6341.5
40,3,0,1,3978.5
40,3,0,0,3751
40,3,1,0,4913
40,3,1,1,5214
40,4,0,1,4757
40,4,0,0,3877.5
40,4,1,0,5090
40,4,1,1,5778
40,5,0,1,4302.5
40,5,0,0,3987
40,5,1,0,5015
40,5,1,1,5240.5
40,6,0,0,5440
41,1,0,0,4463
41,1,0,1,5405
41,1,1,0,6734
41,1,1,1,7943
41,2,0,0,3926.5
41,2,0,1,4182
41,2,1,0,5434
41,2,1,1,5960
41,3,0,1,4635
41,3,0,0,4213
41,3,1,0,5400.5
41,3,1,1,6221
41,4,0,1,4709
41,4,0,0,4281.5
41,4,1,0,5474
41,4,1,1,5973
41,5,0,1,5118
41,5,0,0,5127.5
41,5,1,0,5418
41,5,1,1,6238
41,6,0,0,5223.5
42,1,0,0,8615
42,1,0,1,8716
42,1,1,0,13929
42,1,1,1,13655.5
42,2,0,0,8101.5
42,2,0,1,8558
42,2,1,0,11987
42,2,1,1,11844
42,3,0,1,7971.5
42,3,0,0,8882
42,3,1,0,11678
42,3,1,1,11974
42,4,0,1,7983
42,4,0,0,8291
42,4,1,0,10814
42,4,1,1,10805
42,5,0,1,8060
42,5,0,0,8971.5
42,5,1,0,10866
42,5,1,1,9996.5
42,6,0,0,8220
43,1,0,0,5917
43,1,0,1,5860
43,1,1,0,9860.5
43,1,1,1,9848.5
43,2,0,0,5526
43,2,0,1,5951
43,2,1,0,8541.5
43,2,1,1,8257.5
43,3,0,1,5248.5
43,3,0,0,5708.5
43,3,1,0,7636.5
43,3,1,1,7497
43,4,0,1,5347
43,4,0,0,5643
43,4,1,0,7676
43,4,1,1,7602
43,5,0,1,5965.5
43,5,0,0,6275.5
43,5,1,0,8246
43,5,1,1,7402
43,6,0,0,4633
44,1,0,0,4634
44,1,0,1,5069
44,1,1,0,8262
44,1,1,1,8431
44,2,0,0,4357
44,2,0,1,4489
44,2,1,0,6724
44,2,1,1,6980
44,3,0,1,4499.5
44,3,0,0,4408
44,3,1,0,6315
44,3,1,1,6507.5
44,4,0,1,4401
44,4,0,0,4360
44,4,1,0,5924
44,4,1,1,5898.5
44,5,0,1,4950
44,5,0,0,4827
44,5,1,0,6095
44,5,1,1,5882.5
44,6,0,0,3671
45,1,0,0,3950.5
45,1,0,1,4719
45,1,1,0,7056
45,1,1,1,7703.5
45,2,0,0,3552
45,2,0,1,3966.5
45,2,1,0,5594
45,2,1,1,5537.5
45,3,0,1,3702
45,3,0,0,3780
45,3,1,0,5367
45,3,1,1,5553.5
45,4,0,1,4368
45,4,0,0,4232
45,4,1,0,5840
45,4,1,1,6067
45,5,0,1,4634
45,5,0,0,4742
45,5,1,0,5882
45,5,1,1,5655.5
45,6,0,0,5558
46,1,0,0,3796.5
46,1,0,1,4083
46,1,1,0,7864
46,1,1,1,8474.5
46,2,0,0,3682.5
46,2,0,1,4089
46,2,1,0,6339
46,2,1,1,6389
46,3,0,1,3870
46,3,0,0,3695
46,3,1,0,5653
46,3,1,1,6895.5
46,4,0,1,3967
46,4,0,0,3858.5
46,4,1,0,5652
46,4,1,1,6276
46,5,0,1,4238.5
46,5,0,0,4449.5
46,5,1,0,6132
46,5,1,1,6672
46,6,0,0,4936.5
47,1,0,0,6247
47,1,0,1,6432.5
47,1,1,0,9295
47,1,1,1,9616
47,2,0,0,6021
47,2,0,1,5609
47,2,1,0,8484
47,2,1,1,8081
47,3,0,1,6121
47,3,0,0,6180
47,3,1,0,8446.5
47,3,1,1,7980
47,4,0,1,6075
47,4,0,0,5918
47,4,1,0,7495
47,4,1,1,7428
47,5,0,1,5913
47,5,0,0,6016
47,5,1,0,7394
47,5,1,1,7161
47,6,0,0,5412
48,1,0,0,3767
48,1,0,1,3487.5
48,1,1,0,5500
48,1,1,1,5146.5
48,2,0,0,3533
48,2,0,1,3309.5
48,2,1,0,4604
48,2,1,1,4415.5
48,3,0,1,3282
48,3,0,0,3550
48,3,1,0,4355
48,3,1,1,4060
48,4,0,1,3053
48,4,0,0,3464
48,4,1,0,4186.5
48,4,1,1,4283
48,5,0,1,3732
48,5,0,0,3741
48,5,1,0,4486
48,5,1,1,4185
48,6,0,0,3036
49,1,0,0,5659
49,1,0,1,6066
49,1,1,0,9220
49,1,1,1,10543
49,2,0,0,5449
49,2,0,1,5892
49,2,1,0,7580
49,2,1,1,8411
49,3,0,1,5735
49,3,0,0,5634
49,3,1,0,7486
49,3,1,1,8786.5
49,4,0,1,5510
49,4,0,0,5628
49,4,1,0,6967.5
49,4,1,1,8165.5
49,5,0,1,6330
49,5,0,0,6675
49,5,1,0,7709
49,5,1,1,7734
49,6,0,0,7145
50,1,0,0,3057
50,1,0,1,3151
50,1,1,0,6090.5
50,1,1,1,6263.5
50,2,0,0,2889
50,2,0,1,2877.5
50,2,1,0,4767.5
50,2,1,1,4959.5
50,3,0,1,2979
50,3,0,0,2933
50,3,1,0,4513
50,3,1,1,4520.5
50,4,0,1,3308
50,4,0,0,3171
50,4,1,0,4492
50,4,1,1,4656
50,5,0,1,3633.5
50,5,0,0,3616
50,5,1,0,4669
50,5,1,1,4429
50,6,0,0,4196
51,1,0,0,5277
51,1,0,1,5693
51,1,1,0,8125
51,1,1,1,8425.5
51,2,0,0,4780
51,2,0,1,5077
51,2,1,0,6237
51,2,1,1,6980
51,3,0,1,5160
51,3,0,0,5016.5
51,3,1,0,6271
51,3,1,1,7677.5
51,4,0,1,5435
51,4,0,0,5273
51,4,1,0,6661
51,4,1,1,7657
51,5,0,1,6084
51,5,0,0,6642.5
51,5,1,0,7537
51,5,1,1,8466
51,6,0,0,7173
52,1,0,0,5383.5
52,1,0,1,6794
52,1,1,0,9423
52,1,1,1,11190
52,2,0,0,5292.5
52,2,0,1,6183
52,2,1,0,8158
52,2,1,1,8484
52,3,0,1,5710
52,3,0,0,5481
52,3,1,0,7468
52,3,1,1,9268
52,4,0,1,6374
52,4,0,0,6070
52,4,1,0,8229
52,4,1,1,8769
52,5,0,1,6945.5
52,5,0,0,6868.5
52,5,1,0,8459
52,5,1,1,9440
52,6,0,0,7338
53,1,0,0,4504.5
53,1,0,1,4894
53,1,1,0,7145
53,1,1,1,7408
53,2,0,0,4320
53,2,0,1,4497.5
53,2,1,0,5980
53,2,1,1,6173
53,3,0,1,4233
53,3,0,0,4396
53,3,1,0,5610
53,3,1,1,6013.5
53,4,0,1,4323.5
53,4,0,0,4487
53,4,1,0,5466
53,4,1,1,5743
53,5,0,1,4826.5
53,5,0,0,4924
53,5,1,0,5880
53,5,1,1,5940
53,6,0,0,3493
54,1,0,0,5389.5
54,1,0,1,6486
54,1,1,0,9356
54,1,1,1,10441
54,2,0,0,5274.5
54,2,0,1,5477
54,2,1,0,7937
54,2,1,1,8282
54,3,0,1,5360
54,3,0,0,5601.5
54,3,1,0,8101
54,3,1,1,8137
54,4,0,1,6242
54,4,0,0,5699
54,4,1,0,7839.5
54,4,1,1,8079
54,5,0,1,7901.5
54,5,0,0,6920
54,5,1,0,8897
54,5,1,1,8435
54,6,0,0,9124.5
55,1,0,0,4019.5
55,1,0,1,3915
55,1,1,0,7225
55,1,1,1,6327
55,2,0,0,3859.5
55,2,0,1,3605
55,2,1,0,6212
55,2,1,1,5468
55,3,0,1,3566
55,3,0,0,3768
55,3,1,0,5463
55,3,1,1,5097
55,4,0,0,3830.5
55,4,0,1,3465.5
55,4,1,0,5327
55,4,1,1,4869
55,5,0,0,4115
55,5,0,1,4037
55,5,1,0,5384
55,5,1,1,4762
55,6,0,0,2948
56,1,0,0,5680
56,1,0,1,6154
56,1,1,1,9004
56,1,1,0,8978
56,2,0,0,5396
56,2,0,1,5547
56,2,1,1,7825
56,2,1,0,8109
56,3,0,1,5225
56,3,0,0,5554
56,3,1,1,7203
56,3,1,0,7247
56,4,0,1,5772
56,4,0,0,5968
56,4,1,1,7268
56,4,1,0,7578.5
56,5,0,1,6289.5
56,5,0,0,6700
56,5,1,1,7226
56,5,1,0,8088
56,6,0,1,6852.5
56,6,0,0,7875.5
57,1,0,0,9035
57,1,0,1,8668
57,1,1,0,16273.5
57,1,1,1,16687
57,2,0,0,8533
57,2,0,1,8507
57,2,1,0,12938.5
57,2,1,1,12302
57,3,0,1,7956.5
57,3,0,0,8539
57,3,1,0,11555
57,3,1,1,10951
57,4,0,0,9017
57,4,0,1,8935
57,4,1,0,11488.5
57,4,1,1,11377.5
57,5,0,0,9946.5
57,5,0,1,9576
57,5,1,0,12035
57,5,1,1,10732
57,6,0,0,7665
58,1,0,0,5193
58,1,0,1,4822
58,1,1,0,9473
58,1,1,1,10482
58,2,0,0,4611
58,2,0,1,4628
58,2,1,0,7113
